"added_by_id","added_at","artist","track_name","track_popularity","track_duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1294274344",2020-02-21,"Deerhunter","T.H.M.",0,258.7,0.773,0.536,1,-8.306,0,0.0357,0.22,0.000249,0.28,0.615,127.674,4
"thetopher",2020-02-22,"Pinegrove","Size of the Moon",29,287.5,0.333,0.664,9,-9.785,1,0.0564,0.216,0.000423,0.113,0.197,136.391,4
"thetopher",2020-02-22,"Osoosooso","A Bunch of Things I Don't Know",8,142.6,0.666,0.702,10,-5.13,0,0.0402,0.0879,1.78e-05,0.132,0.947,113.056,4
"",2020-02-22,"Deftones","My Own Summer (Shove It)",69,214.8,0.443,0.781,1,-4.277,1,0.0377,1.33e-05,0.205,0.166,0.372,71.841,4
"alonzocjohnson",2020-02-22,"Appleby","Like U",31,220.2,0.634,0.246,9,-14.002,1,0.0628,0.294,0.0413,0.0922,0.154,171.836,4
"1245358462",2020-02-23,"Vayden","Elysium",9,205.1,0.498,0.893,1,-3.891,1,0.0888,0.000979,2.9e-06,0.0556,0.715,177.972,4
"",2020-02-24,"Queens of the Stone Age","The Vampyre of Time And Memory",0,214.6,0.551,0.385,9,-8.958,0,0.0274,0.088,0.00221,0.133,0.375,142.047,4
"thetopher",2020-02-26,"Refused","New Noise",51,310.2,0.686,0.667,9,-10.263,1,0.0587,0.00752,0.00664,0.405,0.332,105.917,4
"",2020-02-26,"JAY-Z","Heart Of The City (Ain't No Love)",60,223.2,0.606,0.943,6,-3.948,1,0.276,0.088,0.0039,0.342,0.802,171.027,4
"1294274344",2020-02-27,"STRFKR","Pop Song",37,235.7,0.292,0.729,5,-8.146,1,0.0635,0.00349,0.751,0.192,0.182,179.854,4
"",2020-02-27,"Limp Bizkit","Counterfeit",47,308.1,0.462,0.943,1,-5.343,1,0.245,0.0364,0.00148,0.0871,0.218,95.483,4
"thetopher",2020-02-28,"Astronautalis","Holy Water",15,177.2,0.618,0.776,2,-5.864,1,0.0568,0.0569,6.44e-06,0.422,0.578,114.038,4
"",2020-02-29,"Britney Spears","(You Drive Me) Crazy",63,198.1,0.748,0.939,0,-4.288,0,0.0341,0.0534,0,0.32,0.96,104.001,4
"andrewjsa",2020-02-29,"Connor Franta","Beretta Lake",14,229.5,0.582,0.602,1,-5.754,1,0.0328,0.0185,0.00409,0.0837,0.0481,113.991,4
"thetopher",2020-03-01,"EPMD","Da Joint",49,206.7,0.831,0.59,1,-3.877,1,0.359,0.318,0,0.101,0.752,89.619,4
"1294274344",2020-03-01,"The Breeders","Do You Love Me Now?",0,181.8,0.47,0.226,2,-11.578,1,0.035,0.0362,0.136,0.103,0.318,134.613,4
"thetopher",2020-03-01,"Gang Of Four","Natural's Not In It",0,186.5,0.765,0.866,0,-5.403,1,0.243,0.0651,0.0107,0.017,0.858,161.524,4
"",2020-03-02,"Megadeth","Rust In Peace...Polaris - Remastered 2004",51,344.1,0.259,0.965,7,-4.335,1,0.16,0.000612,3.35e-05,0.0787,0.392,168.641,4
"1294274344",2020-03-03,"Grandmaster Flash & The Furious Five","The Message (feat. Melle Mel & Duke Bootee)",51,431.8,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,4
"thetopher",2020-03-03,"Buzzcocks","Why Can't I Touch It? - 2001 Remastered Version",51,396.3,0.587,0.613,0,-9.444,0,0.0341,0.000179,0.151,0.178,0.655,85.693,4
"",2020-03-04,"Stone Temple Pilots","Silvergun Superman - 2019 Remaster",42,316.9,0.368,0.924,7,-6.72,1,0.0383,0.00083,0.00344,0.144,0.631,137.41,4
"1245358462",2020-03-04,"Ludacris","Good Lovin",0,223.4,0.585,0.754,0,-5.231,1,0.237,0.295,3.23e-06,0.109,0.598,82.822,4
"",2020-03-04,"Alice In Chains","Got Me Wrong",47,249.9,0.506,0.771,8,-10.023,1,0.0442,0.104,0.00329,0.215,0.235,83.412,4
"andrewjsa",2020-03-05,"Busty and the Bass","The Real",46,291.5,0.48,0.69,2,-5.46,1,0.134,0.112,0,0.0799,0.489,155.648,4
"",2020-03-06,"Various Artists","RUNNING IN THE 90'S",64,283.8,0.541,0.931,1,-5.484,1,0.0416,0.00482,0.0127,0.0919,0.86,158.517,4
"1294274344",2020-03-06,"Tijuana Panthers","NOBO",45,247.4,0.398,0.776,9,-7.388,0,0.0374,0.0571,0.0172,0.303,0.686,110.815,4
"",2020-03-08,"Wage War","Don't Let Me Fade Away",52,245.1,0.538,0.955,1,-5.89,0,0.0658,4.09e-05,0.00052,0.332,0.467,130.018,4
"1245358462",2020-03-09,"Das EFX","They Want EFX",52,221.4,0.755,0.459,5,-12.84,0,0.358,0.115,0,0.0851,0.597,98.454,4
"1294274344",2020-03-10,"Mac DeMarco","Ode to Viceroy",61,233.8,0.514,0.632,2,-6.305,1,0.0501,0.208,0.0132,0.115,0.31,94.569,4
"",2020-03-12,"Primus","Wynona's Big Brown Beaver",58,261.4,0.589,0.973,2,-6.394,1,0.0543,0.000345,0.103,0.161,0.576,129.473,4
"1294274344",2020-03-14,"Cherry Glazerr","That’s Not My Real Life",33,177.3,0.365,0.866,11,-3.072,0,0.043,0.0442,0.0897,0.336,0.588,169.988,4
"claireesmith94",2020-03-16,"Wilco","If I Ever Was a Child",52,175.9,0.682,0.547,8,-11.816,1,0.04,0.494,0.626,0.11,0.774,133.577,4
"andrewjsa",2020-03-17,"Drag The River","Wichita Skyline",18,159.2,0.488,0.78,7,-5.392,1,0.0311,0.00218,0,0.238,0.805,140.076,3
"",2020-03-18,"Goldfinger","99 Red Balloons",63,229.2,0.285,0.843,4,-7.318,1,0.129,0.00103,0.00037,0.327,0.282,97.051,4
"",2020-03-20,"Manuel","GAS GAS GAS - EXTENDED MIX",63,261,0.454,0.945,8,-4.939,0,0.0462,0.00151,3.09e-05,0.344,0.737,153.967,4
"1266464675",2020-08-15,"Time Zone","World Destruction",38,333.1,0.59,0.833,11,-4.531,0,0.098,0.00105,0.000543,0.101,0.708,138.478,4
"",2020-08-15,"Xiu Xiu","Falling",29,416.6,0.432,0.52,5,-8.736,1,0.0369,0.644,0.855,0.144,0.192,116.075,4
"thetopher",2020-08-15,"Viagra Boys","Lick the Bag",38,198.9,0.515,0.948,9,-5.139,1,0.0598,1.16e-05,0.0981,0.12,0.649,145.586,4
"1294274344",2020-08-16,"<U+798F><U+5C45><U+826F>","It Could Happen To You",46,256.9,0.627,0.507,5,-9.839,0,0.0318,0.814,0.123,0.117,0.535,101.346,4
"",2020-08-16,"Tigers Jaw","Gypsy",46,265.2,0.61,0.7,5,-7.988,1,0.0286,0.0536,0.00243,0.14,0.643,135.021,4
"1266464675",2020-08-16,"Ween","Baby Bitch",42,184.1,0.487,0.331,6,-14.201,0,0.0357,0.373,0,0.247,0.341,150.278,3
"thetopher",2020-08-16,"Various Artists","Saccharine",9,227,0.447,0.876,2,-8.107,1,0.0283,9.21e-06,0.0971,0.363,0.467,146.138,4
"fadedshadow589",2020-08-16,"Glass Animals","Black Mambo",60,248.9,0.675,0.409,0,-10.707,0,0.0423,0.294,0.000596,0.119,0.308,79.954,4
"",2020-08-17,"Deftones","Korea",49,203.6,0.271,0.91,7,-3.645,1,0.0854,1.51e-05,4.34e-05,0.134,0.149,88.463,4
"hbiersack",2020-08-17,"Dr. Acula","Piano Lessons Can Be Murder",27,113.5,0.408,0.936,0,-5.691,1,0.101,0.00251,0.0482,0.389,0.286,129.946,4
"1266464675",2020-08-17,"Ice Cube","It Was A Good Day",77,260,0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
"fadedshadow589",2020-08-18,"SYML","Fear of the Water",59,245.8,0.46,0.208,7,-17.635,0,0.0302,0.954,0.882,0.118,0.151,93.031,4
"hbiersack",2020-08-18,"Thursday","Cross out the Eyes",7,248.5,0.398,0.75,7,-4.43,1,0.0393,0.00074,0,0.673,0.255,79.847,4
"",2020-08-18,"The Dillinger Escape Plan","43% Burnt",36,271.3,0.349,0.925,9,-6.767,0,0.157,6.02e-05,0.000312,0.0577,0.282,138.946,5
"ser_aenys",2020-08-18,"Aaron Kamm and the One Drops","Dont Say",19,499.2,0.602,0.714,10,-7.956,0,0.0613,0.00121,0.00125,0.0789,0.934,100.433,4
"1294274344",2020-08-18,"The Avalanches","Frontier Psychiatrist",35,288.3,0.711,0.905,6,-7.459,1,0.218,0.122,0.000166,0.395,0.437,98.931,4
"1266464675",2020-08-18,"Snakefinger","The Model",32,221.4,0.681,0.54,9,-8.441,1,0.0435,0.261,0.000323,0.185,0.675,129.066,4
"andrewjsa",2020-08-18,"Anand Bhaskar Collective","Malhar",28,288,0.272,0.677,7,-7.033,1,0.041,0.0888,8.67e-06,0.124,0.36,74.97,3
"1223847557",2020-08-19,"Elder","Blind",22,803.5,0.202,0.852,7,-6.759,0,0.0538,0.000124,0.55,0.263,0.225,137.839,4
"thetopher",2020-08-19,"Cave In","Shake My Blood",22,256.4,0.31,0.84,1,-7.191,0,0.0361,2.45e-06,0.644,0.175,0.475,141.936,4
"mjpotter8333",2020-08-19,"Jean-Yves Thibaudet","Liz On Top Of The World - From ""Pride & Prejudice"" Soundtrack",51,82.8,0.217,0.117,3,-21.398,1,0.0374,0.975,0.911,0.0573,0.0388,46.755,3
"hbiersack",2020-08-19,"Citizen","How Does It Feel?",47,233.4,0.409,0.577,4,-5.864,0,0.035,0.0018,0.51,0.491,0.383,83.434,4
"",2020-08-19,"Grimes","Realiti",0,306.5,0.638,0.632,9,-7.589,1,0.029,0.000904,0.0406,0.115,0.349,114.992,4
"1266464675",2020-08-19,"Leonard Cohen","I'm Your Man",55,265.2,0.712,0.308,11,-16.003,0,0.036,0.328,0,0.0835,0.5,94.123,4
"1223847557",2020-08-19,"Team Sleep","Formant - Live",34,265.6,0.388,0.468,0,-9.155,1,0.0376,0.0479,0.425,0.705,0.112,128.814,3
"1294274344",2020-08-20,"STRFKR","Girls Just Want to Have Fun",45,187.9,0.757,0.701,6,-6.054,1,0.0414,0.035,0.00228,0.32,0.739,120.005,4
"",2020-08-20,"100 gecs","hand crushed by a mallet",63,126.6,0.659,0.473,1,-7.306,0,0.125,0.274,0,0.28,0.788,84.505,4
"thetopher",2020-08-20,"Various Artists","Are You That Somebody",62,265.7,0.848,0.663,9,-7.078,0,0.159,0.124,0.0293,0.0737,0.833,137.953,4
"1223847557",2020-08-20,"The Juan Maclean","Running Back To You",36,423.7,0.775,0.528,9,-7.756,1,0.0441,0.102,0.582,0.233,0.957,94.967,4
"1266464675",2020-08-20,"Sufjan Stevens","SuperSexyWoman",18,162.3,0.562,0.88,5,-6.658,0,0.118,0.778,0.000124,0.149,0.671,157.285,4
"1294274344",2020-08-21,"of Montreal","Gronlandic Edit",56,204.8,0.971,0.4,4,-7.154,0,0.0487,0.0833,0.000661,0.108,0.652,119.953,4
"thetopher",2020-08-21,"The Hotelier","Your Deep Rest",0,227.2,0.363,0.876,3,-6.53,1,0.111,0.0514,2.86e-06,0.0991,0.408,110.019,4
"hbiersack",2020-08-21,"The Knife","You Make Me Like Charity",26,185.4,0.859,0.575,2,-8.631,1,0.0702,0.117,0.0094,0.0802,0.979,100.002,4
"",2020-08-21,"Death Grips","Why A Bitch Gotta Lie",36,280.1,0.3,0.96,0,-4.79,1,0.176,0.0495,1.49e-05,0.0756,0.153,134.831,4
"ser_aenys",2020-08-21,"Queens of the Stone Age","Make It Wit Chu",56,290.5,0.704,0.811,9,-5.308,1,0.0277,0.355,0.000189,0.13,0.578,91.97,4
"1223847557",2020-08-21,"IDLES","Colossus",40,339,0.342,0.882,0,-5.903,1,0.0676,0.00194,3.81e-05,0.313,0.229,129.091,4
"1266464675",2020-08-21,"Slick Rick","Street Talkin'",59,221.2,0.934,0.495,5,-7.483,0,0.346,0.0544,0,0.0934,0.836,101.781,4
"fadedshadow589",2020-08-21,"Phoebe Bridgers","Killer + The Sound",54,475.2,0.397,0.0998,0,-15.431,1,0.0371,0.982,0.00476,0.1,0.105,127.362,4
"1294274344",2020-08-22,"SEATBELTS","Tank!",36,209.9,0.539,0.907,0,-6.814,1,0.124,0.0348,0.907,0.485,0.573,137.456,4
"",2020-08-22,"Electric Light Orchestra","Evil Woman",64,269.8,0.677,0.619,9,-7.446,0,0.0334,0.457,0.000149,0.221,0.74,119.624,4
"hbiersack",2020-08-22,"Alexisonfire",".44 Caliber Love Letter",42,271.3,0.166,0.961,6,-3.925,1,0.0841,0.000947,0.0698,0.11,0.124,102.344,4
"1266464675",2020-08-22,"Deltron 3030","Madness",39,278.9,0.46,0.772,10,-9.724,0,0.419,0.178,4.4e-05,0.182,0.741,174.935,4
"thetopher",2020-08-22,"ellis","Buried Myself Alive",6,211.5,0.273,0.555,0,-8.27,1,0.0322,0.27,0.691,0.113,0.125,84.982,4
"fadedshadow589",2020-08-22,"Chiodos","Those Who Slay Together, Stay Together",0,304.6,0.194,0.899,2,-2.965,0,0.0786,0.0181,0,0.208,0.111,181.748,3
"",2020-08-23,"Deftones","Beauty School",48,287.8,0.397,0.9,3,-5.968,0,0.0589,5.9e-05,0.024,0.228,0.204,106.448,4
"1223847557",2020-08-23,"Thao","Meticulous Bird",35,202.4,0.798,0.811,9,-6.662,1,0.0629,0.0297,0.00189,0.137,0.695,117.753,4
"thetopher",2020-08-23,"Look Mexico","Brandy You're a Fine Girl",13,223.7,0.58,0.876,4,-3.429,1,0.0524,0.111,0.00017,0.37,0.773,129.989,4
"andrewjsa",2020-08-23,"Northcote","Bitter End",19,194.2,0.501,0.951,9,-3.119,1,0.0598,0.00353,0,0.28,0.63,89.974,4
"1266464675",2020-08-23,"Tom Waits","The Earth Died Screaming",33,218.3,0.723,0.494,8,-14.022,0,0.298,0.928,0.284,0.499,0.757,126.585,4
"",2020-08-24,"Killswitch Engage","My Curse",67,244.8,0.197,0.956,10,-2.908,0,0.0663,7.61e-05,0.00992,0.261,0.209,177.018,3
"hbiersack",2020-08-24,"Run The Jewels","Blockbuster Night, Pt. 1",58,152.3,0.701,0.525,1,-7.938,0,0.382,0.0353,2.55e-06,0.0615,0.385,75.693,4
"1294274344",2020-08-24,"Only Real","Punks And Potions",20,207,0.565,0.653,0,-7.348,1,0.0265,0.188,7.25e-05,0.387,0.244,94.955,4
"andrewjsa",2020-08-24,"Taba Chake","Shaayad",16,208,0.606,0.472,8,-8.525,1,0.0307,0.685,1.11e-05,0.114,0.439,94.972,4
"1223847557",2020-08-24,"If These Trees Could Talk","Solstice",42,469.8,0.516,0.843,1,-5.557,1,0.0312,0.00184,0.852,0.118,0.0458,125.028,3
"1266464675",2020-08-24,"Michael Kiwanuka","Home Again",63,209.9,0.564,0.32,9,-11.473,0,0.0306,0.706,0,0.123,0.266,85.891,4
"fadedshadow589",2020-08-24,"The Receiving End Of Sirens","Planning a Prison Break",41,318.1,0.493,0.914,8,-5.894,1,0.0557,0.000136,1.05e-06,0.964,0.74,91.045,4
"andrewjsa",2020-08-25,"Saor","Forgotten Paths",28,664.4,0.175,0.882,3,-6.123,1,0.11,0.00122,0.467,0.157,0.0556,174.579,3
"1223847557",2020-08-25,"Pink Floyd","Fearless",59,367.9,0.38,0.341,7,-15.719,1,0.0418,0.16,0.0408,0.448,0.179,143.719,4
"",2020-08-26,"100 gecs","money machine",68,114.5,0.68,0.659,6,-7.186,1,0.151,0.229,0,0.474,0.75,98.877,4
"fadedshadow589",2020-08-26,"Kid Cudi","Pursuit Of Happiness (Nightmare)",73,295.3,0.63,0.605,0,-8.951,1,0.0414,0.484,9.29e-05,0.298,0.266,115.277,4
"1266464675",2020-08-26,"Lucinda Williams","Drunken Angel",33,199.9,0.472,0.56,2,-8.119,1,0.0357,0.0857,0,0.159,0.395,75.911,4
"1294274344",2020-08-27,"Night Moves","Colored Emotions",45,259.9,0.476,0.652,1,-4.604,0,0.0258,0.613,0.606,0.159,0.229,98.917,4
"thetopher",2020-08-27,"Desaparecidos","The Left is Right",0,145,0.287,0.906,1,-3.456,0,0.131,0.00106,0.000387,0.0991,0.458,151.456,4
"",2020-08-27,"Power Trip","Firing Squad",41,197.6,0.273,0.994,11,-3.579,1,0.169,3.74e-05,0.814,0.42,0.0978,104.503,4
"mjpotter8333",2020-08-27,"The Cure","Close To Me",53,203.3,0.724,0.523,11,-11.139,1,0.116,0.0745,0.703,0.0811,0.965,185.075,4
"fadedshadow589",2020-08-28,"Mannequin Pussy","Drunk II",47,268.7,0.473,0.958,7,-3.67,1,0.0372,4.11e-05,0.425,0.0793,0.47,136.022,4
"",2020-08-28,"Deftones","Be Quiet and Drive (Far Away)",65,299.9,0.206,0.965,1,-5.116,1,0.079,9.91e-06,0.827,0.367,0.168,92.615,4
"mjpotter8333",2020-08-28,"Cardi B","WAP (feat. Megan Thee Stallion)",85,187.5,0.935,0.454,1,-7.509,1,0.375,0.0194,0,0.0824,0.357,133.073,4
"1266464675",2020-08-28,"Various Artists","Keep Their Heads Ringin'",61,305.6,0.672,0.777,9,-4.238,0,0.0956,0.0379,0.00141,0.159,0.238,90.575,4
"1294274344",2020-08-28,"Xenia Rubinos","Ultima",15,288.7,0.636,0.706,2,-6.284,1,0.156,0.11,1.4e-05,0.372,0.824,85.794,4
"thetopher",2020-08-28,"Against Me!","Turn Those Clapping Hands into Angry Balled Fists",27,286.3,0.367,0.78,9,-6.509,1,0.0638,0.000244,0.000122,0.309,0.578,74.099,4
"1223847557",2020-08-29,"Twenty One Pilots","Lane Boy (feat. MUTEMATH)",42,321,0.578,0.834,7,-5.804,1,0.123,0.128,0.00291,0.0883,0.479,159.871,4
"22qazc7oehywxqtopsgnz4qkq",2020-08-29,"Crash Kings","Mountain Man",47,197.1,0.525,0.923,2,-5.217,0,0.0929,0.0265,7.47e-05,0.454,0.668,155.114,4
"hbiersack",2020-08-29,"Tigers Jaw","Never Saw It Coming",0,157.3,0.595,0.5,11,-6.706,0,0.026,0.539,0.000389,0.0817,0.387,110.043,4
"s.ethbrooks",2020-08-29,"The Breeders","No Aloha",0,127.2,0.306,0.536,10,-9.165,1,0.034,0.0774,0.269,0.1,0.448,124.28,4
"andrewjsa",2020-08-29,"Colter Wall","Big Iron",56,264.9,0.694,0.566,0,-10.608,1,0.0329,0.393,2e-05,0.103,0.723,113.158,3
"1266464675",2020-08-29,"James Brown","It's A Man's, Man's, Man's World",51,167.1,0.646,0.35,8,-11.539,0,0.0486,0.665,0.000122,0.0472,0.552,80.882,3
"thetopher",2020-08-29,"Q And Not U","Wet Work",8,198.1,0.643,0.829,11,-3.242,1,0.0426,0.438,0,0.0529,0.737,138.055,4
"1294274344",2020-08-30,"King Krule","Easy Easy",0,169.7,0.563,0.408,4,-8.972,1,0.0365,0.838,1.04e-05,0.108,0.234,146.908,4
"fadedshadow589",2020-08-30,"Mt. Joy","Sheep",63,215.2,0.498,0.502,2,-8.052,1,0.0371,0.891,0.000907,0.0716,0.286,81.169,4
"andrewjsa",2020-08-30,"Mike and the Moonpies","Cheap Silver",36,269.1,0.41,0.439,9,-10.377,1,0.0283,0.158,0.00178,0.192,0.295,75.098,4
"1266464675",2020-08-30,"Roger Miller","Dang Me - Single Version",11,110.7,0.643,0.586,4,-9.775,1,0.0962,0.801,5.67e-06,0.0612,0.914,93.226,4
"fadedshadow589",2020-08-30,"Something Corporate","Me And The Moon",33,247.8,0.233,0.715,4,-4.684,1,0.0332,0.18,0.000554,0.0894,0.169,168.902,3
"thetopher",2020-08-30,"Attack in Black","Northern Towns - Acoustic",0,207.4,0.574,0.123,4,-18.777,1,0.0443,0.839,0.000326,0.0887,0.363,98.442,4
"31acsc72oemfvnccz45jgw54tbz4",2020-08-30,"S. J. Tucker","Cheshire Kitten (We're All Mad Here)",41,268.1,0.702,0.492,0,-6.462,0,0.0488,0.497,0,0.101,0.777,122.881,4
"1294274344",2020-08-31,"Hank Williams","There's A Tear In My Beer",38,167,0.579,0.19,8,-14.872,1,0.0276,0.994,0.000782,0.311,0.477,141.031,4
"ser_aenys",2020-08-31,"Brown Bird","Blood Of Angels",34,204.6,0.549,0.702,11,-9.175,0,0.0955,0.339,0.00542,0.22,0.888,137.843,4
"1245358462",2020-08-31,"Plini","Selenium Forest",15,365.6,0.471,0.717,3,-7.731,0,0.0388,0.0653,0.897,0.284,0.356,149.981,1
"1266464675",2020-08-31,"Bob Dylan","Meet Me in the Morning",47,259,0.555,0.467,9,-14.698,1,0.0443,0.0809,0.000983,0.0707,0.591,145.268,4
"fadedshadow589",2020-08-31,"Handbook","Wouldn't You (Like To Know)",14,202.9,0.766,0.548,9,-8.459,0,0.182,0.0297,0.00932,0.463,0.613,96.963,4
"1245358462",2020-09-01,"Taking Back Sunday","You're So Last Summer",1,179.5,0.473,0.735,11,-6.131,0,0.0498,0.0106,0,0.266,0.65,77.273,4
"1294274344",2020-09-01,"Crumb","Part III",54,222.9,0.333,0.506,1,-8.78,1,0.0281,0.197,0.84,0.235,0.187,83.807,4
"31acsc72oemfvnccz45jgw54tbz4",2020-09-01,"Mitski","Francis Forever",70,149.7,0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94e-05,0.115,0.32,101.984,4
"1266464675",2020-09-01,"The Cramps","I Can't Hardly Stand It",49,163.1,0.577,0.916,4,-7.305,1,0.101,0.445,0,0.156,0.545,94.731,4
"",2020-09-01,"Infant Annihilator","Three Bastards",40,257.9,0.457,0.995,2,-1.632,1,0.221,1.61e-06,0.911,0.296,0.0848,140.027,4
"1223847557",2020-09-01,"Animals As Leaders","The Price of Everything and the Value of Nothing",32,332.3,0.501,0.953,4,-5.436,0,0.0516,8.74e-05,0.835,0.0788,0.234,95.006,3
"fadedshadow589",2020-09-01,"Nigel Stanford","Cymatics",39,285.7,0.438,0.64,0,-9.067,0,0.0357,0.0273,0.848,0.0962,0.111,93.782,4
"thetopher",2020-09-01,"Califone","Bandicoot",1,175.4,0.708,0.653,9,-9.968,0,0.0505,0.033,0.813,0.129,0.151,119.986,4
"",2020-09-01,"Megan Thee Stallion","Big Ole Freak",64,214.8,0.799,0.699,2,-7.694,1,0.204,0.00867,0,0.132,0.627,142.979,4
"31acsc72oemfvnccz45jgw54tbz4",2020-09-02,"AURORA","In Boxes",40,203.7,0.587,0.29,1,-13.182,1,0.0316,0.334,0.601,0.116,0.0386,126.089,4
"mjpotter8333",2020-09-02,"Civil Twilight","Holy Weather",0,299,0.645,0.729,5,-7.61,0,0.0454,0.0196,0.0203,0.131,0.466,118.116,4
"",2020-09-02,"TOOL","10,000 Days (Wings Pt 2)",54,673.8,0.259,0.631,9,-9.438,0,0.0369,0.00768,0.774,0.112,0.0381,123.37,4
"1266464675",2020-09-02,"Social Distortion","Ball and Chain",54,343.1,0.435,0.911,1,-9.2,1,0.0428,0.0365,0.00119,0.152,0.37,134.949,4
"fadedshadow589",2020-09-02,"Various Artists","Sunflower - Spider-Man: Into the Spider-Verse",82,158,0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,4
"thetopher",2020-09-02,"Marnie Stern","Year of the Glad",22,219.6,0.409,0.877,5,-5.433,1,0.0756,0.000311,0.0971,0.527,0.436,149.506,4
"1294274344",2020-09-03,"The National","Mistaken For Strangers",0,211,0.541,0.925,5,-5.302,1,0.0313,0.0544,0.867,0.298,0.747,133.002,4
"1266464675",2020-09-03,"RB Morris","That's How Every Empire Falls",1,273.7,0.365,0.361,9,-10.932,1,0.0307,0.651,9.32e-05,0.34,0.428,178.502,4
"1245358462",2020-09-03,"Swing Republic","Crazy in Love - Electro Swing Version",45,234.7,0.612,0.719,7,-6.451,1,0.287,0.542,7.76e-06,0.0424,0.893,201.978,4
"",2020-09-03,"Simple Plan","Addicted",63,232.1,0.522,0.751,1,-5.46,1,0.0435,0.000491,2.22e-06,0.158,0.605,139.51,3
"fadedshadow589",2020-09-04,"Blue October","Sound Of Pulling Heaven Down",23,282.6,0.55,0.762,0,-7.405,1,0.0379,0.118,0,0.208,0.268,95.508,4
"1266464675",2020-09-05,"Ween","Ocean Man",64,126.9,0.72,0.912,4,-6.13,1,0.0363,0.551,0.00122,0.0982,0.973,122.782,4
"",2020-09-05,"The Mooney Suzuki","Alive & Amplified",41,184.3,0.314,0.983,2,-3.228,1,0.12,0.00014,0.000487,0.282,0.516,184.084,4
"1266464675",2020-09-05,"Roger Waters","Comfortably Numb - Live In Berlin",38,482.2,0.481,0.505,2,-13.002,1,0.0391,0.0509,0.0339,0.814,0.255,127.068,4
"fadedshadow589",2020-09-05,"Spoon","Inside Out",62,302,0.621,0.62,0,-4.721,1,0.0293,0.459,0.162,0.0771,0.515,176.016,4
"1294274344",2020-09-06,"Julien Baker","Me & My Dog",0,206.5,0.485,0.513,0,-8.912,1,0.0238,0.616,0.00805,0.121,0.192,93.997,4
"22qazc7oehywxqtopsgnz4qkq",2020-09-06,"The Mighty Mighty Bosstones","The Impression That I Get",66,194.8,0.418,0.945,4,-5.406,1,0.118,0.0991,0.0123,0.23,0.696,181.174,4
"",2020-09-06,"Ghost","Square Hammer",58,239.3,0.53,0.903,2,-4.396,0,0.0483,3.31e-05,0.182,0.259,0.747,129.983,4
"1223847557",2020-09-06,"King Crimson","21st Century Schizoid Man",1,442.6,0.306,0.701,7,-9.918,0,0.0664,0.000404,0.59,0.197,0.538,92.527,4
"thetopher",2020-09-06,"Beans on Toast","M.D.M Amazing",20,203.3,0.635,0.547,11,-9.139,1,0.165,0.83,0,0.253,0.859,99.502,4
"",2020-09-07,"Bowling For Soup","Trucker Hat",37,181,0.542,0.917,4,-4.68,1,0.0441,0.000537,0,0.0536,0.776,133.189,4
"1266464675",2020-09-07,"Steve Earle","More Than I Can Do",25,157.2,0.558,0.732,10,-4.543,1,0.0275,0.026,0,0.241,0.81,133.279,4
"fadedshadow589",2020-09-07,"Brooks & Dunn","Neon Moon",71,263.8,0.698,0.632,9,-6.508,1,0.0247,0.554,0,0.118,0.458,102.408,4
"andrewjsa",2020-09-07,"Parker McCollum","Young Man's Blues",61,206,0.549,0.869,8,-4.817,1,0.0546,0.0139,0,0.334,0.502,114,4
"thetopher",2020-09-07,"Crazy Arm","Song of Choice",0,238.8,0.576,0.509,10,-9.593,0,0.0568,0.486,0,0.208,0.525,118.124,4
"",2020-09-08,"Mudvayne","Dig",62,162.3,0.623,0.983,11,-3.548,0,0.151,9.62e-05,0.0617,0.261,0.271,134.975,4
"",2020-09-09,"Deftones","Bored",55,246,0.365,0.538,2,-6.951,1,0.035,0.00039,0.0869,0.198,0.314,79.863,4
"1294274344",2020-09-08,"Warpaint","Disco//very",0,244.4,0.644,0.763,1,-7.939,1,0.0356,0.00492,0.0483,0.167,0.644,97.144,4
"fadedshadow589",2020-09-08,"Anberlin","The Feel Good Drag",61,207.4,0.342,0.677,5,-11.906,0,0.0568,0.0013,0.00671,0.201,0.501,188.6,4
"thetopher",2020-09-08,"Sinéad O'Connor","Troy",49,391.2,0.315,0.311,10,-9.233,1,0.032,0.482,1.42e-06,0.44,0.184,116.404,4
"1223847557",2020-09-09,"The Neighbourhood","Devil's Advocate",0,186.3,0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,4
"1245358462",2020-09-09,"Collective Soul","The World I Know",0,255.5,0.514,0.704,2,-4.724,1,0.0261,0.0515,0.00219,0.228,0.386,76.975,4
"thetopher",2020-09-09,"Cap'n Jazz","Take On Me",34,183.2,0.437,0.703,6,-6.958,0,0.0376,0.00104,0.000719,0.0857,0.524,93.134,4
"fadedshadow589",2020-09-10,"Ben Howard","Small Things",0,343.8,0.388,0.595,7,-9.864,0,0.0418,0.782,0.245,0.116,0.178,136.125,4
"1266464675",2020-09-10,"Joe Strummer","Mondo Bongo",51,372.6,0.819,0.494,11,-11.065,0,0.0343,0.62,0.0403,0.272,0.866,105.502,4
